date,open,high,low,close,volume
2015-12-07,84.69,85.28,83.53,84.39,2280974981
2015-12-08,83.68,84.86,82.91,84.1,2386487019
2015-12-09,83.79,84.92,82.61,83.31,2526096469
2015-12-10,83.39,84.37,82.69,83.48,2085765987
2015-12-11,82.49,83.32,81.45,81.97,2548793349
2015-12-14,82.04,82.95,80.91,82.24,2708273621
2015-12-15,82.86,83.97,82.17,83.04,2567468526
2015-12-16,83.54,84.67,82.55,84.2,2629637604
2015-12-17,84.35,84.76,82.7,82.98,2392717817
2015-12-18,82.63,83.22,81.39,81.71,4124454411
2015-12-21,82.26,82.95,81.27,82.23,2065200787
2015-12-22,82.56,83.37,81.71,82.84,1938470191
2015-12-23,83.3,84.17,82.68,83.81,1961144932
2015-12-24,83.73,84.23,83.28,83.7,736263173
2015-12-28,83.43,84.03,82.78,83.68,1345470298
2015-12-29,84.16,85.03,83.74,84.55,1381510021
2015-12-30,84.38,84.85,83.71,83.97,1196763384
2015-12-31,83.64,84.27,82.94,83.21,1463928964
