,date,departure_delay,arrival_delay,open,high,low,close,volume,state,city,success,suicide
93,2015-04-04,5.66,-0.39,,,,,,,,,
94,2015-04-05,3.89,-1.7,,,,,,,,,
95,2015-04-06,3.78,-1.31,84.53,86.04,84.22,85.51,1824717667.0,,,,
96,2015-04-07,5.25,1.54,85.58,86.25,84.91,85.19,1635467076.0,,,,
97,2015-04-08,9.73,7.29,85.28,86.22,84.79,85.63,1784549549.0,,,,
98,2015-04-09,22.57,21.03,85.6,86.32,84.91,85.8,1698700851.0,,,,
99,2015-04-10,19.22,16.76,85.97,86.56,85.36,86.09,1881696977.0,,,,
100,2015-04-11,5.48,-1.61,,,,,,,,,
101,2015-04-12,4.96,-0.25,,,,,,,,,
102,2015-04-13,12.71,8.85,86.04,86.75,85.44,85.76,1730097763.0,,,,
103,2015-04-14,4.99,0.27,85.71,86.38,85.01,85.83,1746332180.0,,,,
104,2015-04-15,5.2,0.24,86.09,86.86,85.46,86.11,2053613073.0,,,,
105,2015-04-16,10.27,8.04,86.03,86.7,85.4,86.07,1939609555.0,,,,
106,2015-04-17,10.28,5.86,85.46,85.94,84.46,85.07,2320958458.0,,,,
107,2015-04-18,5.19,-1.0,,,,,,,,,
108,2015-04-19,7.07,2.45,,,,,,,,,
109,2015-04-20,16.53,13.45,85.47,86.35,85.06,85.79,1854696660.0,,,,
110,2015-04-21,4.51,-1.01,86.09,86.68,85.29,85.85,2009732746.0,,,,
111,2015-04-22,3.82,-1.2,85.88,86.58,85.09,86.07,1958608264.0,,,,
112,2015-04-23,5.42,0.8,85.92,86.94,85.46,86.36,2196146393.0,,,,
113,2015-04-24,13.69,11.04,86.52,87.14,85.7,86.4,2034765118.0,,,,
114,2015-04-25,8.73,4.49,,,,,,,,,
115,2015-04-26,4.56,-0.35,,,,,,,,,
116,2015-04-27,7.36,2.64,86.63,87.14,85.47,85.87,2242583669.0,,,,
117,2015-04-28,3.13,-3.2,85.68,86.44,84.77,85.82,2146115587.0,,,,
118,2015-04-29,1.64,-5.37,85.4,86.32,84.47,85.33,2295378264.0,,,,
119,2015-04-30,4.37,-2.05,85.14,85.84,83.84,84.43,2412521455.0,,,,
120,2015-05-01,3.4,-3.69,84.82,85.88,84.32,85.44,1948609021.0,,,,
121,2015-05-02,2.03,-6.12,,,,,,,,,
122,2015-05-03,5.11,-1.34,,,,,,Texas,Garland,1.0,0.0
123,2015-05-04,6.1,0.2,85.64,86.46,85.15,85.74,1710562153.0,,,,
124,2015-05-05,3.49,-1.84,85.59,86.11,84.32,84.64,2119898430.0,,,,
125,2015-05-06,5.74,0.56,84.9,85.37,83.72,84.44,2145165870.0,,,,
126,2015-05-07,5.3,0.84,84.43,85.43,83.79,84.8,1983406016.0,,,,
127,2015-05-08,11.85,8.26,85.62,86.53,85.04,85.8,1984366927.0,,,,
128,2015-05-09,10.61,6.29,,,,,,,,,
129,2015-05-10,16.46,12.83,,,,,,,,,
130,2015-05-11,15.92,12.32,85.75,86.41,85.03,85.42,1750884938.0,,,,
131,2015-05-12,5.2,-0.37,84.91,85.61,84.22,85.17,1740923637.0,,,,
132,2015-05-13,5.7,0.69,85.33,86.0,84.59,85.08,1858865696.0,,,,
133,2015-05-14,6.36,0.82,85.52,86.31,84.94,85.94,1844554613.0,,,,
134,2015-05-15,7.86,3.25,86.05,86.61,85.37,86.08,1810275446.0,,,,
135,2015-05-16,4.82,-0.47,,,,,,,,,
136,2015-05-17,11.35,6.14,,,,,,,,,
137,2015-05-18,20.89,19.01,85.93,86.78,85.59,86.45,1596586882.0,,,,
138,2015-05-19,12.08,7.85,86.47,87.07,85.85,86.43,1803405333.0,,,,
139,2015-05-20,8.85,3.66,86.47,87.01,85.77,86.35,1779387353.0,,,,
140,2015-05-21,10.19,5.44,86.27,87.04,85.84,86.57,1731028134.0,,,,
141,2015-05-22,6.28,0.73,86.46,87.1,85.99,86.43,1476453584.0,,,,
142,2015-05-23,5.32,-0.75,,,,,,,,,
143,2015-05-24,3.03,-3.97,,,,,,,,,
144,2015-05-25,11.16,6.62,,,,,,,,,
145,2015-05-26,20.34,16.6,86.2,86.51,85.14,85.54,1932816264.0,,,,
146,2015-05-27,19.95,16.46,85.7,86.6,85.26,86.21,1811676145.0,,,,
147,2015-05-28,9.56,5.2,86.06,86.6,85.42,86.05,1606885725.0,,,,
148,2015-05-29,8.8,3.68,86.02,86.54,85.0,85.51,2302558172.0,,,,
149,2015-05-30,8.16,2.26,,,,,,,,,
150,2015-05-31,18.15,14.04,,,,,,,,,
151,2015-06-01,17.5,14.12,85.77,86.34,84.97,85.71,1787210450.0,,,,
152,2015-06-02,10.43,4.8,85.49,86.34,84.89,85.71,1705192335.0,,,,
153,2015-06-03,5.26,-0.41,85.88,86.5,85.21,85.84,1786368002.0,,,,
154,2015-06-04,6.3,0.71,85.37,86.05,84.73,85.16,1900924565.0,,,,
155,2015-06-05,9.48,4.31,85.02,85.71,84.35,85.15,1902213929.0,,,,
156,2015-06-06,4.24,-2.92,,,,,,,,,
157,2015-06-07,9.44,4.5,,,,,,,,,
158,2015-06-08,15.49,11.96,85.07,85.5,84.28,84.54,1742608528.0,,,,
159,2015-06-09,16.86,12.65,83.65,84.22,83.03,84.5,1783810829.0,,,,
